Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
SN2006cv	0.100	IIn	10.33	0.05	-0.60	0.07	8.61	0.05	-2.32	0.07	3.18	0.22
SN2006cw	0.065	II	10.02	0.06	0.50	0.09	7.82	0.06	-1.70	0.09	6.72	0.11
SN2006cy	0.036	IIn	10.21	0.04	0.69	0.08	7.88	0.04	-1.63	0.08	6.07	0.03
SN2006db	0.023	IIn	8.69	0.19	-0.59	0.24	7.40	0.19	-1.88	0.24	2.39	0.04
SN2006fg	0.030	II	7.99	0.30	-1.53	0.32	8.17	0.30	-1.35	0.32	0.34	0.03
SN2006fo	0.021	Ib	10.25	0.03	0.50	0.07	8.53	0.03	-1.22	0.07	3.18	0.01
SN2006fq	0.070	IIP	9.96	0.04	0.50	0.07	8.13	0.04	-1.34	0.07	4.61	0.04
SN2006gd	0.150	IIP	10.97	0.07	0.86	0.16	8.23	0.07	-1.89	0.16	15.45	0.42
SN2006gy	0.019	IIn	11.17	0.32	0.54	0.35	9.36	0.32	-1.27	0.35	4.74	0.03
SN2006ho	0.110	II	11.25	0.03	0.80	0.07	9.01	0.03	-1.44	0.07	6.09	0.09
SN2006ic	0.040	II	10.45	0.04	0.70	0.07	8.17	0.04	-1.58	0.07	5.95	0.04
SN2006ih	0.130	II	8.95	0.18	-0.30	0.20	9.55	0.18	0.30	0.20	0.24	0.09
SN2006ii	0.030	II	9.44	0.30	-0.32	0.31	7.51	0.30	-2.25	0.31	4.11	0.07
SN2006ij	0.040	II	9.81	0.11	0.28	0.16	7.74	0.11	-1.79	0.16	6.70	0.06
SN2006ip	0.030	Ic	9.64	0.19	0.15	0.19	7.87	0.19	-1.61	0.19	3.61	0.03
SN2006ir	0.020	Ic	8.77	0.32	-0.85	0.35	7.11	0.32	-2.51	0.35	3.49	0.05
SN2006iw	0.030	II	9.67	0.29	-0.02	0.31	8.06	0.29	-1.63	0.31	4.19	0.09
SN2006ix	0.080	II	9.65	0.11	-0.02	0.19	7.79	0.11	-1.88	0.19	7.91	0.23
